nome;partido;uf;name_simplified
Pr. Marco Feliciano;PL;SP;pr marco feliciano
Raimundo Costa;PL;BA;raimundo costa
Sergio Toledo;PL;AL;sergio toledo
Soraya Santos;PL;RJ;soraya santos
Tiririca;PL;SP;tiririca
Valdevan Noventa;PL;SE;valdevan noventa
Vicentinho Júnior;PL;TO;vicentinho junior
Vinicius Gurgel;PL;AP;vinicius gurgel
Wellington Roberto;PL;PB;wellington roberto
Zé Vitor;PL;MG;ze vitor
Bacelar;PODE;BA;bacelar
Diego Garcia;PODE;PR;diego garcia
Eduardo Braide;PODE;MA;eduardo braide
Igor Timo;PODE;MG;igor timo
Josivaldo JP;PODE;MA;josivaldo jp
José Medeiros;PODE;MT;jose medeiros
José Nelto;PODE;GO;jose nelto
Léo Moraes;PODE;RO;leo moraes
Renata Abreu;PODE;SP;renata abreu
Ricardo Teobaldo;PODE;PE;ricardo teobaldo
Roberto de Lucena;PODE;SP;roberto de lucena
Rodrigo Coelho;PODE;SC;rodrigo coelho
ADRIANO DO BALDY;PP;GO;adriano do baldy
AJ Albuquerque;PP;CE;aj albuquerque
Afonso Hamm;PP;RS;afonso hamm
Aguinaldo Ribeiro;PP;PB;aguinaldo ribeiro
André Abdon;PP;AP;andre abdon
André Fufuca;PP;MA;andre fufuca
Angela Amin;PP;SC;angela amin
Arthur Lira;PP;AL;arthur lira
Beto Rosado;PP;RN;beto rosado
Cacá Leão;PP;BA;caca leao
Celina Leão;PP;DF;celina leao
Christino Aureo;PP;RJ;christino aureo
Claudio Cajado;PP;BA;claudio cajado
Covatti Filho;PP;RS;covatti filho
Dimas Fabiano;PP;MG;dimas fabiano
Dr. Luiz Antonio Teixeira Jr.;PP;RJ;dr luiz antonio teixeira jr
Eduardo da Fonte;PP;PE;eduardo da fonte
Evair Vieira de Melo;PP;ES;evair vieira de melo
Fausto Pinato;PP;SP;fausto pinato
Fernando Monteiro;PP;PE;fernando monteiro
Franco Cartafina;PP;MG;franco cartafina
GUILHERME DERRITE;PP;SP;guilherme derrite
Guilherme Mussi;PP;SP;guilherme mussi
Hiran Gonçalves;PP;RR;hiran goncalves
Iracema Portella;PP;PI;iracema portella
Jaqueline Cassol;PP;RO;jaqueline cassol
Jerônimo Goergen;PP;RS;jeronimo goergen
Julio Lopes;PP;RJ;julio lopes
Laercio Oliveira;PP;SE;laercio oliveira
Marcelo Aro;PP;MG;marcelo aro
Margarete Coelho;PP;PI;margarete coelho
Mário Negromonte Jr.;PP;BA;mario negromonte jr
Neri Geller;PP;MT;neri geller
Nilson F. Stainsack;PP;SC;nilson f stainsack
Osmar Serraglio;PP;PR;osmar serraglio
Pedro Westphalen;PP;RS;pedro westphalen
Pinheirinho;PP;MG;pinheirinho
Professor Alcides;PP;GO;professor alcides
